asn=0    	id=-1  	Main	copying configuration file /home/bae/Documents/tsch-sim/examples/mesh/config.json to output directory /home/bae/Documents/tsch-sim/results/2021-05-17_22-18-14/config.json
asn=0    	id=-1  	Main	initializing 600 seconds long simulation...
asn=0    	id=-1  	TSCH	Orchestra: initializing Orchestra infrastructure
asn=0    	id=-1  	Main	creating 3 "node" nodes...
asn=0    	id=-1  	Main	generating a mesh network with 3 nodes and 1.7320508075688772 degrees
asn=0    	id=-1  	Main	error: impossible to generate a mesh network with 3 nodes and 1.7320508075688772 degrees: the network would be disconnected
asn=0    	id=-1  	App	new packet source, from=1 for=-1 period=0.521 warmup=100
asn=0    	id=-1  	App	new packet source, from=2 for=-1 period=0.521 warmup=100
asn=0    	id=-1  	App	new packet source, from=3 for=-1 period=0.521 warmup=100
asn=0    	id=-1  	Main	starting simulation main loop...
asn=0    	id=1   	TSCH	Orchestra: *** initializing
asn=0    	id=1   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=1   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=1   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=1   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=1   	TSCH	Orchestra: initialization done
asn=0    	id=1   	Node	becomes TSCH coordinator
asn=0    	id=2   	TSCH	Orchestra: *** initializing
asn=0    	id=2   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=2   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=2   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=2   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=2   	TSCH	Orchestra: initialization done
asn=0    	id=2   	Node	scanning on channel=25...
asn=0    	id=3   	TSCH	Orchestra: *** initializing
asn=0    	id=3   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=3   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=3   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=3   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=3   	TSCH	Orchestra: initialization done
asn=0    	id=3   	Node	scanning on channel=26...
asn=1    	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 1
